STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,25.3,2026-05-25,00:00:00,99.0,2026-05-24,00:00:00,2026-05-25 00:15:30,28.450000000000045,Zone 4,62.2,Zone 5,28.9,Zone 4,54.9,Zone 5,36.7,Zone 5,61.7,Zone 5,57.1,Zone 5,64.5,Zone 5,62.2,Zone 5,66.6,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,28.3,2026-05-25,00:00:00,90.0,2026-05-24,00:00:00,2026-05-25 00:15:30,34.35000000000002,Zone 4,65.3,Zone 5,34.9,Zone 4,61.7,Zone 5,54.5,Zone 5,64.9,Zone 5,62.3,Zone 5,67.2,Zone 5,65.3,Zone 5,68.9,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,39.7,2026-05-25,00:00:00,95.0,2026-05-24,00:00:00,2026-05-25 00:15:30,95.75,Zone 6,103.5,Zone 6,94.9,Zone 6,99.8,Zone 6,97.8,Zone 6,102.6,Zone 6,100.6,Zone 6,105.4,Zone 6,103.5,Zone 6,108.2,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,27.2,2026-05-25,00:00:00,95.0,2026-05-24,00:00:00,2026-05-25 00:15:30,32.35000000000002,Zone 4,63.9,Zone 5,31.8,Zone 4,60.0,Zone 5,45.8,Zone 5,63.5,Zone 5,60.5,Zone 5,66.0,Zone 5,63.9,Zone 5,67.9,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,26.4,2026-05-25,00:00:00,82.0,2026-05-24,00:00:00,2026-05-25 00:15:30,28.950000000000045,Zone 4,60.2,Zone 5,29.1,Zone 4,45.5,Zone 5,35.6,Zone 4,59.8,Zone 5,47.8,Zone 5,62.9,Zone 5,60.2,Zone 5,65.1,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,26.5,2026-05-25,00:00:00,99.0,2026-05-24,00:00:00,2026-05-25 00:15:30,31.150000000000034,Zone 4,63.9,Zone 5,31.2,Zone 4,60.0,Zone 5,45.8,Zone 5,63.5,Zone 5,60.5,Zone 5,66.0,Zone 5,63.9,Zone 5,67.9,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,28.1,2026-05-25,00:00:00,93.0,2026-05-24,00:00:00,2026-05-25 00:15:30,34.450000000000045,Zone 4,65.1,Zone 5,34.1,Zone 4,61.5,Zone 5,53.5,Zone 5,64.8,Zone 5,62.1,Zone 5,67.1,Zone 5,65.1,Zone 5,68.8,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,25.6,2026-05-25,00:00:00,95.0,2026-05-24,00:00:00,2026-05-25 00:15:30,28.75,Zone 4,61.3,Zone 5,28.5,Zone 4,51.0,Zone 5,35.6,Zone 4,60.9,Zone 5,53.4,Zone 5,63.8,Zone 5,61.3,Zone 5,66.0,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,27.2,2026-05-25,00:00:00,82.0,2026-05-24,00:00:00,2026-05-25 00:15:30,30.450000000000045,Zone 4,61.0,Zone 5,30.1,Zone 4,49.4,Zone 5,36.7,Zone 4,60.6,Zone 5,51.8,Zone 5,63.5,Zone 5,61.0,Zone 5,65.7,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,24.1,2026-05-25,00:00:00,83.0,2026-05-24,00:00:00,2026-05-25 00:15:30,25.350000000000023,Zone 4,49.0,Zone 5,25.2,Zone 3,36.1,Zone 4,31.1,Zone 4,47.5,Zone 5,36.6,Zone 4,59.7,Zone 5,49.0,Zone 5,62.4,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,26.5,2026-05-25,00:00:00,89.0,2026-05-24,00:00:00,2026-05-25 00:15:30,29.850000000000023,Zone 4,61.7,Zone 5,29.9,Zone 4,53.0,Zone 5,36.9,Zone 4,61.3,Zone 5,55.3,Zone 5,64.2,Zone 5,61.7,Zone 5,66.3,Zone 5
Andhra Pradesh,Anakapalli,Yellamanchilli Vskp,29.7,2026-05-24,23:30:00,91.0,2026-05-24,23:30:00,2026-05-25 00:15:30,43.25,Zone 5,67.3,Zone 5,40.8,Zone 5,64.1,Zone 5,60.7,Zone 5,66.9,Zone 5,64.6,Zone 5,68.9,Zone 5,67.3,Zone 5,70.4,Zone 5
Andhra Pradesh,Anantapur,Kh Govtdegcollege Dharmavaram,29.2,2026-05-25,00:00:00,70.0,2026-05-24,00:00:00,2026-05-25 00:15:30,32.75,Zone 4,61.3,Zone 5,32.4,Zone 4,50.9,Zone 5,38.7,Zone 4,60.9,Zone 5,53.2,Zone 5,63.8,Zone 5,61.3,Zone 5,66.0,Zone 5
Andhra Pradesh,Bapatla,Chirala,30.5,2026-05-25,00:00:00,50.0,2026-05-24,00:00:00,2026-05-25 00:15:30,32.150000000000034,Zone 4,55.7,Zone 5,32.1,Zone 4,41.9,Zone 4,37.4,Zone 4,54.2,Zone 5,42.3,Zone 4,61.1,Zone 5,55.7,Zone 5,63.6,Zone 5
Andhra Pradesh,Eluru,Vijayarai,29.5,2026-05-25,00:00:00,61.0,2026-05-24,00:00:00,2026-05-25 00:15:30,31.950000000000045,Zone 4,59.7,Zone 5,32.0,Zone 4,43.3,Zone 5,37.8,Zone 4,59.3,Zone 5,45.5,Zone 5,62.4,Zone 5,59.7,Zone 5,64.8,Zone 5
Andhra Pradesh,Kakinada,Kakinada,30.9,2026-05-25,00:00:00,77.0,2026-05-24,00:00:00,2026-05-25 00:15:30,38.55000000000001,Zone 4,66.3,Zone 5,38.9,Zone 4,62.9,Zone 5,59.2,Zone 5,65.9,Zone 5,63.4,Zone 5,68.1,Zone 5,66.3,Zone 5,69.7,Zone 5
Andhra Pradesh,Kakinada,Peddapuram,29.9,2026-05-25,00:00:00,87.0,2026-05-24,00:00:00,2026-05-25 00:15:30,38.950000000000045,Zone 5,67.2,Zone 5,40.1,Zone 5,63.9,Zone 5,60.5,Zone 5,66.8,Zone 5,64.5,Zone 5,68.8,Zone 5,67.2,Zone 5,70.3,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Arg,30.3,2026-05-25,00:00:00,100.0,2026-05-24,00:00:00,2026-05-25 00:15:30,61.25,Zone 5,71.1,Zone 5,62.0,Zone 5,68.8,Zone 5,66.5,Zone 5,70.8,Zone 5,69.3,Zone 5,73.1,Zone 6,71.1,Zone 5,76.0,Zone 6
