STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,25.6,2026-04-20,00:00:00,97.0,2026-04-19,00:00:00,2026-04-20 00:14:59,28.950000000000045,Zone 4,61.8,Zone 5,28.7,Zone 4,53.0,Zone 5,35.9,Zone 4,61.3,Zone 5,55.3,Zone 5,64.2,Zone 5,61.8,Zone 5,66.3,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,25.8,2026-04-20,00:00:00,89.0,2026-04-19,00:00:00,2026-04-20 00:14:59,28.55000000000001,Zone 4,60.9,Zone 5,28.9,Zone 4,48.9,Zone 5,35.7,Zone 4,60.5,Zone 5,51.3,Zone 5,63.5,Zone 5,60.9,Zone 5,65.7,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,38.5,2026-04-20,00:00:00,96.0,2026-04-19,00:00:00,2026-04-20 00:14:59,91.25,Zone 6,99.8,Zone 6,91.2,Zone 6,96.2,Zone 6,94.1,Zone 6,99.0,Zone 6,97.0,Zone 6,101.8,Zone 6,99.8,Zone 6,104.6,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,25.1,2026-04-20,00:00:00,95.0,2026-04-19,00:00:00,2026-04-20 00:14:59,27.75,Zone 4,60.5,Zone 5,27.6,Zone 4,46.9,Zone 5,34.4,Zone 4,60.1,Zone 5,49.3,Zone 5,63.1,Zone 5,60.5,Zone 5,65.4,Zone 5
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,26.0,2026-04-20,00:00:00,93.0,2026-04-19,00:00:00,2026-04-20 00:14:59,29.350000000000023,Zone 4,61.8,Zone 5,29.3,Zone 4,53.1,Zone 5,36.4,Zone 4,61.4,Zone 5,55.4,Zone 5,64.2,Zone 5,61.8,Zone 5,66.3,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,25.4,2026-04-20,00:00:00,82.0,2026-04-19,00:00:00,2026-04-20 00:14:59,27.25,Zone 4,57.6,Zone 5,27.4,Zone 4,38.8,Zone 4,33.6,Zone 4,56.1,Zone 5,40.4,Zone 5,61.5,Zone 5,57.6,Zone 5,64.0,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,23.2,2026-04-20,00:00:00,99.0,2026-04-19,00:00:00,2026-04-20 00:14:59,24.950000000000045,Zone 3,55.1,Zone 5,24.7,Zone 3,36.3,Zone 4,30.9,Zone 4,53.5,Zone 5,37.7,Zone 5,60.9,Zone 5,55.1,Zone 5,63.5,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,24.8,2026-04-19,23:45:00,99.0,2026-04-19,23:45:00,2026-04-20 00:14:59,27.55000000000001,Zone 4,61.3,Zone 5,27.9,Zone 4,50.8,Zone 5,35.0,Zone 4,60.9,Zone 5,53.2,Zone 5,63.8,Zone 5,61.3,Zone 5,66.0,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,27.4,2026-04-20,00:00:00,88.0,2026-04-19,00:00:00,2026-04-20 00:14:59,31.75,Zone 4,63.2,Zone 5,31.9,Zone 4,59.1,Zone 5,41.8,Zone 5,62.8,Zone 5,59.7,Zone 5,65.4,Zone 5,63.2,Zone 5,67.4,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,25.3,2026-04-20,00:00:00,86.0,2026-04-19,00:00:00,2026-04-20 00:14:59,27.350000000000023,Zone 4,59.5,Zone 5,27.7,Zone 4,42.1,Zone 5,34.2,Zone 4,59.1,Zone 5,44.2,Zone 5,62.2,Zone 5,59.5,Zone 5,64.6,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,21.7,2026-04-20,00:00:00,87.0,2026-04-19,00:00:00,2026-04-20 00:14:59,22.850000000000023,Zone 3,37.8,Zone 4,22.6,Zone 3,32.5,Zone 4,27.7,Zone 4,37.5,Zone 4,32.9,Zone 4,51.2,Zone 5,37.8,Zone 4,60.0,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,22.7,2026-04-20,00:00:00,86.0,2026-04-19,00:00:00,2026-04-20 00:14:59,23.950000000000045,Zone 3,42.0,Zone 5,23.7,Zone 3,34.0,Zone 4,29.1,Zone 4,40.7,Zone 5,34.4,Zone 4,55.9,Zone 5,42.0,Zone 5,61.1,Zone 5
Andhra Pradesh,Anakapalli,Yellamanchilli Vskp,27.2,2026-04-19,23:30:00,93.0,2026-04-19,23:30:00,2026-04-20 00:14:59,32.05000000000001,Zone 4,63.4,Zone 5,31.5,Zone 4,59.5,Zone 5,43.3,Zone 5,63.0,Zone 5,60.0,Zone 5,65.6,Zone 5,63.4,Zone 5,67.5,Zone 5
Andhra Pradesh,Anantapur,Kh Govtdegcollege Dharmavaram,29.7,2026-04-20,00:00:00,46.0,2026-04-19,00:00:00,2026-04-20 00:14:59,30.450000000000045,Zone 4,45.5,Zone 5,30.2,Zone 4,39.4,Zone 4,35.2,Zone 4,44.1,Zone 5,39.8,Zone 4,58.7,Zone 5,45.5,Zone 5,61.7,Zone 5
Andhra Pradesh,Bapatla,Chirala,28.7,2026-04-20,00:00:00,79.0,2026-04-19,00:00:00,2026-04-20 00:14:59,33.25,Zone 4,62.7,Zone 5,32.8,Zone 4,57.6,Zone 5,39.7,Zone 4,62.3,Zone 5,59.2,Zone 5,65.0,Zone 5,62.7,Zone 5,67.0,Zone 5
Andhra Pradesh,Eluru,Vijayarai,26.3,2026-04-20,00:00:00,67.0,2026-04-19,00:00:00,2026-04-20 00:14:59,27.55000000000001,Zone 4,50.4,Zone 5,27.8,Zone 4,38.2,Zone 4,33.5,Zone 4,48.8,Zone 5,38.7,Zone 4,59.9,Zone 5,50.4,Zone 5,62.6,Zone 5
Andhra Pradesh,Kakinada,Kakinada,27.2,2026-04-20,00:00:00,85.0,2026-04-19,00:00:00,2026-04-20 00:14:59,30.850000000000023,Zone 4,61.7,Zone 5,30.4,Zone 4,52.7,Zone 5,37.3,Zone 4,61.3,Zone 5,55.0,Zone 5,64.1,Zone 5,61.7,Zone 5,66.2,Zone 5
Andhra Pradesh,Kakinada,Peddapuram,27.2,2026-04-20,00:00:00,96.0,2026-04-19,00:00:00,2026-04-20 00:14:59,32.450000000000045,Zone 4,64.1,Zone 5,32.0,Zone 4,60.2,Zone 5,47.1,Zone 5,63.7,Zone 5,60.8,Zone 5,66.2,Zone 5,64.1,Zone 5,68.0,Zone 5
Andhra Pradesh,Kakinada,Prathipadu,26.7,2026-04-20,00:00:00,,,,2026-04-20 00:14:59,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Konaseema,Ambajipeta Arg,26.1,2026-04-20,00:00:00,100.0,2026-04-19,00:00:00,2026-04-20 00:14:59,30.350000000000023,Zone 4,63.2,Zone 5,30.1,Zone 4,59.2,Zone 5,42.0,Zone 5,62.8,Zone 5,59.8,Zone 5,65.4,Zone 5,63.2,Zone 5,67.4,Zone 5
Andhra Pradesh,Krishna,Kv Gopalnagar Machilipatnam,26.3,2026-04-20,00:00:00,45.0,2026-04-19,00:00:00,2026-04-20 00:14:59,26.25,Zone 4,39.7,Zone 4,26.4,Zone 4,35.3,Zone 4,31.2,Zone 4,39.5,Zone 4,35.6,Zone 4,44.7,Zone 5,39.7,Zone 4,57.7,Zone 5
Andhra Pradesh,Nellore,Nellore Kvk,28.4,2026-04-20,00:00:00,83.0,2026-04-19,00:00:00,2026-04-20 00:14:59,33.25,Zone 4,63.7,Zone 5,33.5,Zone 4,59.7,Zone 5,44.7,Zone 5,63.3,Zone 5,60.3,Zone 5,65.8,Zone 5,63.7,Zone 5,67.7,Zone 5
Andhra Pradesh,Ntr,Mylavaram College Of  Engineer,27.5,2026-04-20,00:00:00,100.0,2026-04-19,00:00:00,2026-04-20 00:14:59,34.150000000000034,Zone 4,65.8,Zone 5,34.1,Zone 4,62.3,Zone 5,57.3,Zone 5,65.4,Zone 5,62.9,Zone 5,67.7,Zone 5,65.8,Zone 5,69.3,Zone 5
Andhra Pradesh,Palnadu,Jangameshwarapuram,28.6,2026-04-20,00:00:00,,,,2026-04-20 00:14:59,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Palnadu,Rentachintala,28.6,2026-04-19,23:45:00,71.0,2026-04-19,23:45:00,2026-04-20 00:14:59,31.75,Zone 4,60.8,Zone 5,31.6,Zone 4,48.3,Zone 5,37.8,Zone 4,60.4,Zone 5,50.6,Zone 5,63.3,Zone 5,60.8,Zone 5,65.6,Zone 5
